	D1	D10	D11	D21	D22	D3D	D3K	D4	D5	D6	D7	D8	D9
OG279	5	6	5	3	7	4	5	4	4	1	4	5	2
OG280	8	8	6	2	4	5	5	3	0	1	5	4	4
OG281	5	6	4	3	5	4	4	5	3	4	4	5	3
OG282	4	13	5	2	3	5	6	3	2	3	1	6	2
OG283	4	6	4	3	5	5	4	6	4	3	4	4	3
OG284	7	5	5	2	3	6	6	2	1	7	4	6	1
OG285	6	3	6	2	3	7	4	3	0	6	7	6	2
OG286	3	12	3	5	4	5	8	2	1	3	0	8	1
OG287	4	7	4	1	5	6	5	2	2	4	5	5	5
OG288	4	4	4	6	6	4	5	4	4	1	4	4	5
OG289	5	5	4	4	3	7	4	3	6	3	3	4	3
OG290	6	20	1	0	7	3	3	0	1	4	1	6	2
OG291	3	4	6	4	3	5	5	4	3	4	4	4	5
OG292	6	8	7	4	1	4	4	3	2	3	4	7	1
OG293	7	3	6	3	3	6	6	4	0	5	3	5	3
OG294	6	7	7	4	2	4	4	1	5	2	5	6	1
OG295	6	5	5	3	4	6	5	3	2	4	4	5	2
OG296	5	6	4	3	3	5	5	5	2	4	5	5	2
OG297	6	10	5	2	3	6	7	2	0	1	2	7	3
OG298	5	17	5	1	1	4	5	0	0	7	0	9	0
OG299	5	4	5	4	3	4	4	5	4	3	5	5	3
OG300	8	6	2	2	3	5	4	5	2	6	2	6	3
OG301	4	6	5	3	3	5	5	5	4	2	3	4	5
OG302	5	6	5	4	7	6	3	5	0	2	2	6	3
OG303	5	3	5	5	3	5	5	3	3	4	4	6	3
OG304	5	4	4	5	4	4	5	4	5	2	4	4	4
OG305	3	3	4	4	6	4	5	5	4	3	5	3	5
OG306	5	4	5	4	4	4	2	6	4	5	4	4	2
OG307	6	5	4	4	5	6	6	1	0	5	1	6	4
OG308	4	5	5	2	4	4	4	4	5	3	5	4	4
OG309	5	4	5	5	2	5	4	4	2	4	4	5	4
OG310	3	2	5	4	6	5	7	3	2	5	3	3	5
OG311	4	4	4	4	4	5	5	4	3	5	4	4	3
OG312	3	4	5	4	2	2	4	5	4	4	6	4	6
OG313	3	4	3	5	5	3	4	4	6	4	4	4	4
OG314	6	8	3	1	3	6	3	2	0	5	5	4	7
OG315	5	15	5	1	4	4	3	3	1	5	3	3	1
OG316	5	6	5	4	4	5	5	4	1	4	4	3	3
OG317	2	16	5	1	1	7	6	1	0	2	1	8	3
OG318	4	13	2	6	2	5	5	6	1	2	1	3	3
OG319	5	4	4	4	3	4	5	5	3	2	5	5	4
OG320	3	7	5	3	4	5	4	7	0	3	3	4	5
OG321	6	7	3	2	3	4	8	0	0	4	3	8	5
OG322	5	5	6	4	4	3	3	5	1	3	5	4	4
OG323	5	5	4	3	5	5	4	5	2	2	5	4	3
OG324	4	4	4	4	4	4	4	4	4	4	4	4	4
OG325	5	4	4	3	4	5	4	4	3	3	4	5	4
OG326	4	5	4	4	4	4	4	5	4	2	4	4	4
OG327	5	5	4	4	3	4	5	2	3	4	4	4	5
OG328	4	4	5	3	3	5	3	5	3	4	8	2	3
OG329	4	3	4	4	4	5	3	4	4	3	4	5	5
OG330	4	7	5	2	4	3	3	4	4	4	4	4	4
OG331	5	5	5	4	4	5	5	4	2	2	2	5	4
OG332	4	4	4	3	6	4	4	4	3	3	5	4	4
OG333	4	4	5	4	4	4	4	4	5	2	5	4	3
OG334	5	5	4	3	4	6	5	3	2	5	2	5	3
OG335	7	5	4	4	4	3	5	4	2	3	3	5	3
OG336	6	5	3	3	2	5	7	4	3	4	3	4	3
OG337	6	13	4	2	2	10	4	1	0	2	5	3	0
OG338	4	4	4	4	4	4	4	4	5	3	4	4	4
OG339	4	15	8	3	3	3	4	2	0	5	1	4	0
OG340	4	4	4	1	3	7	3	4	3	4	5	4	5
OG341	4	6	3	3	3	4	4	6	2	3	6	4	3
OG342	4	3	4	5	4	4	4	4	3	4	4	5	3
OG343	4	6	4	5	4	7	5	3	2	3	2	3	3
OG344	4	4	4	3	4	4	4	4	4	3	5	4	4
OG345	6	4	3	3	4	4	4	5	4	4	3	4	3
OG346	5	4	5	4	3	4	4	2	4	4	3	5	4
OG347	4	4	4	4	5	4	4	4	4	2	4	4	4
OG348	4	2	4	3	4	4	4	5	5	2	5	4	5
OG349	5	5	5	4	3	5	4	3	3	1	4	5	4
OG350	4	18	3	0	2	8	4	1	0	4	1	5	1
OG351	5	5	5	4	3	5	5	3	2	2	3	5	4
OG352	5	3	5	2	4	7	7	3	0	3	3	6	3
OG353	4	5	4	4	4	4	4	4	4	2	4	5	3
OG354	4	5	4	5	5	4	4	3	3	4	2	4	4
OG355	2	18	4	2	2	5	3	4	0	1	1	4	5
OG356	4	4	4	5	5	4	4	5	2	2	4	4	4
OG357	2	37	4	1	0	3	0	1	0	1	0	2	0
OG358	6	5	6	2	4	4	3	4	1	3	5	5	2
OG359	4	4	4	4	4	4	4	4	4	3	4	4	3
OG360	5	8	2	2	5	7	6	2	0	3	7	3	0
OG361	4	2	5	6	4	3	4	3	4	4	5	3	3
OG362	4	4	3	3	5	4	5	4	3	3	3	4	5
OG363	4	4	5	4	4	4	4	4	2	3	4	4	4
OG364	4	4	4	4	4	4	4	4	4	3	4	4	3
OG365	4	4	4	4	3	4	4	4	4	3	4	4	4
OG366	3	4	4	4	4	4	4	4	4	4	3	4	4
OG367	4	3	4	3	4	4	4	4	4	4	4	4	4
OG368	4	8	5	3	3	7	7	1	0	2	2	3	5
